X,Y
1024.8,117.1
1020.6,250.8
1020.4,1240.4
1025.1,377.9
1022.3,932.2
1025.7,1610.7
1027.6,983.8
1029.7,64.7
1023.4,217.1
1025.9,1845.5
1025.7,962.7
1027.3,686.8
1028.1,1475
1027.8,539.2
1027.6,711.2
1029.8,207.4
1031.5,720.7
1034.8,870.8
1031.3,1340
1033.1,180.9
1031.6,1516.6
1035.1,1633.9
1036.3,633.3
1038.7,772
1038.9,1384.1
1034.9,1532.9
1042.8,1768.9
1038.6,161.3
1038.9,1546.7
1037.4,1458.7
1040.5,1575.9
1036.8,1691.4
1042,1796.4
